Order,Family,Genus,Species,Diploid.number,Fundamental.number,Sex.chromosome,Ploidy,Max.Bs,Microchromosomes,Notes,Original.listing,Citation
Anura,Hylodidae,Megaelosia,Megaelosia massarti,28,56,,,1,,,,"AA, G., 1995. The karyotype of the stream dwelling frog Megaelosia massarti (Anura, Leptodactylidae, Hylodinae). Cytologia, 60(1), pp.49-52."
Anura,Aromobatidae,Allobates,Allobates femoralis,24,48,,,,,,Epipedobates femoralis,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Dendrobatidae,Ameerega,Ameerega flavopicta,24,42,,,,,,Epipedobates flavopictus,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Dendrobatidae,Ameerega,Ameerega hahneli,24,42,,,,,,Epipedobates hahneli,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Dendrobatidae,Ameerega,Ameerega trivittata,24,44,,,,,,Epipedobates trivittatus,"Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
Anura,Hylodidae,Crossodactylus,Crossodactylus cf caramaschi,26,52,,,,,,,"Aguiar, O., Carvalho, K.A., Giaretta, A.A. and Recco-Pimentel, S.M., 2004. Cytogenetics of Hylodes and Crossodactylus species (Anura, Leptodactylidae) with comments on Hylodinae Dendrobatidae relationships. Genetica, 121(1), pp.43-53."
Anura,Hylodidae,Crossodactylus,Crossodactylus sp,26,52,,,,,,,"Aguiar, O., Carvalho, K.A., Giaretta, A.A. and Recco-Pimentel, S.M., 2004. Cytogenetics of Hylodes and Crossodactylus species (Anura, Leptodactylidae) with comments on Hylodinae Dendrobatidae relationships. Genetica, 121(1), pp.43-53."
Anura,Hylodidae,Hylodes,Hylodes asper,26,52,,,,,,,"Aguiar, O., Carvalho, K.A., Giaretta, A.A. and Recco-Pimentel, S.M., 2004. Cytogenetics of Hylodes and Crossodactylus species (Anura, Leptodactylidae) with comments on Hylodinae Dendrobatidae relationships. Genetica, 121(1), pp.43-53."
Anura,Hylodidae,Hylodes,Hylodes phyllodes,26,48,,,,,,,"Aguiar, O., Carvalho, K.A., Giaretta, A.A. and Recco-Pimentel, S.M., 2004. Cytogenetics of Hylodes and Crossodactylus species (Anura, Leptodactylidae) with comments on Hylodinae Dendrobatidae relationships. Genetica, 121(1), pp.43-53."
Anura,Ranidae,Pelophylax,Pelophylax ridibundus,26,52,XY,,,,,Rana ridibunda,"Al-Shehri, A.H. and Al-Saleh, A.A., 2008. Karyotype of amphibians in Saudi Arabia. 3. The karyotype of Bufo regularis. Asian Journal of Cell Biology, 3(2), pp.67-71."
Anura,Bufonidae,Sclerophrys,Sclerophrys regularis,20,40,,,,,,Bufo regularis,"Al-Shehri, A.H. and Al-Saleh, A.A., 2008. Karyotype of amphibians in Saudi Arabia. 3. The karyotype of Bufo regularis.?Asian Journal of Cell Biology,?3(2), pp.67-71."
